Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Norway,Beverages,Offline,M,2/3/2013,171187865,2/14/2013,7148,47.45,31.79,339172.60,227234.92,111937.68
Europe,Norway,Vegetables,Offline,L,3/22/2017,308422124,5/7/2017,7815,154.06,90.93,1203978.90,710617.95,493360.95
Europe,Norway,Vegetables,Online,H,7/25/2016,863110244,8/19/2016,2356,154.06,90.93,362965.36,214231.08,148734.28
Europe,Norway,Household,Online,H,4/30/2017,543629539,6/5/2017,916,668.27,502.54,612135.32,460326.64,151808.68
Europe,Norway,Household,Online,H,10/4/2010,796423232,11/15/2010,8188,668.27,502.54,5471794.76,4114797.52,1356997.24
Europe,Norway,Clothes,Online,C,7/21/2012,968325793,8/18/2012,7975,109.28,35.84,871508.00,285824.00,585684.00
Europe,Norway,Cereal,Offline,L,4/14/2016,333380401,5/2/2016,3524,205.70,117.11,724886.80,412695.64,312191.16
Europe,Norway,Office Supplies,Offline,H,1/28/2016,193454921,2/24/2016,6465,651.21,524.96,4210072.65,3393866.40,816206.25
Europe,Norway,Household,Offline,M,9/15/2013,120595824,10/27/2013,5839,668.27,502.54,3902028.53,2934331.06,967697.47
Europe,Norway,Meat,Online,H,6/4/2015,267581737,7/15/2015,2237,421.89,364.69,943767.93,815811.53,127956.40
Europe,Norway,Cereal,Online,L,11/3/2013,172907483,12/15/2013,6021,205.70,117.11,1238519.70,705119.31,533400.39
Europe,Norway,Personal Care,Online,H,6/20/2012,349220883,7/4/2012,1075,81.73,56.67,87859.75,60920.25,26939.50
Europe,Norway,Fruits,Offline,M,9/15/2016,415850818,9/30/2016,8353,9.33,6.92,77933.49,57802.76,20130.73
Europe,Norway,Office Supplies,Offline,L,5/17/2010,999850976,6/8/2010,6978,651.21,524.96,4544143.38,3663170.88,880972.50
Europe,Norway,Vegetables,Online,M,10/11/2016,456156051,11/28/2016,5567,154.06,90.93,857652.02,506207.31,351444.71
Europe,Norway,Cereal,Online,C,8/13/2013,135745370,8/30/2013,8926,205.70,117.11,1836078.20,1045323.86,790754.34
Europe,Norway,Beverages,Offline,C,8/17/2012,921256244,9/25/2012,9050,47.45,31.79,429422.50,287699.50,141723.00
Europe,Norway,Beverages,Offline,M,10/15/2011,209435737,11/10/2011,5543,47.45,31.79,263015.35,176211.97,86803.38
Europe,Norway,Office Supplies,Online,M,8/9/2016,161633622,9/9/2016,9836,651.21,524.96,6405301.56,5163506.56,1241795.00
Europe,Norway,Cereal,Online,M,3/11/2015,642615926,3/15/2015,3188,205.70,117.11,655771.60,373346.68,282424.92
Europe,Norway,Snacks,Online,H,6/29/2013,440175235,8/17/2013,6488,152.58,97.44,989939.04,632190.72,357748.32
Europe,Norway,Personal Care,Online,C,2/9/2016,760487210,2/20/2016,3920,81.73,56.67,320381.60,222146.40,98235.20
Europe,Norway,Office Supplies,Offline,M,9/29/2015,952147567,11/12/2015,479,651.21,524.96,311929.59,251455.84,60473.75
Europe,Norway,Fruits,Offline,C,5/18/2010,496658694,6/1/2010,1199,9.33,6.92,11186.67,8297.08,2889.59
Europe,Norway,Cosmetics,Offline,L,4/23/2017,511709535,5/15/2017,5077,437.20,263.33,2219664.40,1336926.41,882737.99
Europe,Norway,Clothes,Online,H,3/21/2012,604960286,5/4/2012,47,109.28,35.84,5136.16,1684.48,3451.68
Europe,Norway,Cereal,Online,C,4/3/2015,238804852,5/9/2015,6517,205.70,117.11,1340546.90,763205.87,577341.03
Europe,Norway,Household,Online,H,3/9/2017,375644290,3/9/2017,348,668.27,502.54,232557.96,174883.92,57674.04
Europe,Norway,Cereal,Offline,M,8/17/2014,832655370,9/11/2014,82,205.70,117.11,16867.40,9603.02,7264.38
Europe,Norway,Meat,Online,L,10/24/2013,684245955,12/11/2013,2439,421.89,364.69,1028989.71,889478.91,139510.80
Europe,Norway,Office Supplies,Offline,L,7/22/2012,837263619,9/7/2012,3766,651.21,524.96,2452456.86,1976999.36,475457.50
Europe,Norway,Meat,Offline,H,5/24/2012,396290433,5/27/2012,10000,421.89,364.69,4218900.00,3646900.00,572000.00
Europe,Norway,Baby Food,Online,L,5/28/2015,235661733,6/25/2015,6398,255.28,159.42,1633281.44,1019969.16,613312.28
Europe,Norway,Beverages,Offline,H,7/22/2012,880951011,7/29/2012,1836,47.45,31.79,87118.20,58366.44,28751.76
Europe,Norway,Cosmetics,Offline,H,9/20/2016,269400060,10/29/2016,319,437.20,263.33,139466.80,84002.27,55464.53
Europe,Norway,Fruits,Offline,H,2/4/2013,524308192,3/20/2013,3300,9.33,6.92,30789.00,22836.00,7953.00
Europe,Norway,Personal Care,Offline,C,4/13/2015,714841163,4/13/2015,6240,81.73,56.67,509995.20,353620.80,156374.40
Europe,Norway,Cosmetics,Online,H,5/25/2014,264002168,6/22/2014,2963,437.20,263.33,1295423.60,780246.79,515176.81
Europe,Norway,Cereal,Offline,C,1/16/2015,867817199,1/29/2015,5249,205.70,117.11,1079719.30,614710.39,465008.91
Europe,Norway,Clothes,Online,M,12/4/2011,527492940,1/10/2012,5738,109.28,35.84,627048.64,205649.92,421398.72
Europe,Norway,Office Supplies,Offline,H,10/28/2014,568530738,11/23/2014,9734,651.21,524.96,6338878.14,5109960.64,1228917.50
Europe,Norway,Cosmetics,Offline,C,12/18/2012,209872186,1/18/2013,4698,437.20,263.33,2053965.60,1237124.34,816841.26
Europe,Norway,Personal Care,Offline,L,10/11/2013,533031165,10/11/2013,4622,81.73,56.67,377756.06,261928.74,115827.32
Europe,Norway,Vegetables,Offline,L,4/3/2016,932093656,5/18/2016,6081,154.06,90.93,936838.86,552945.33,383893.53
Europe,Norway,Office Supplies,Offline,H,12/13/2015,101077067,12/28/2015,9805,651.21,524.96,6385114.05,5147232.80,1237881.25
Europe,Norway,Beverages,Online,M,11/30/2016,948962819,11/30/2016,8041,47.45,31.79,381545.45,255623.39,125922.06
Europe,Norway,Beverages,Offline,M,2/3/2013,171187865,2/14/2013,7148,47.45,31.79,339172.60,227234.92,111937.68
Europe,Norway,Vegetables,Offline,L,3/22/2017,308422124,5/7/2017,7815,154.06,90.93,1203978.90,710617.95,493360.95
Europe,Norway,Vegetables,Online,H,7/25/2016,863110244,8/19/2016,2356,154.06,90.93,362965.36,214231.08,148734.28
Europe,Norway,Household,Online,H,4/30/2017,543629539,6/5/2017,916,668.27,502.54,612135.32,460326.64,151808.68
Europe,Norway,Household,Online,H,10/4/2010,796423232,11/15/2010,8188,668.27,502.54,5471794.76,4114797.52,1356997.24
Europe,Norway,Clothes,Online,C,7/21/2012,968325793,8/18/2012,7975,109.28,35.84,871508.00,285824.00,585684.00
Europe,Norway,Cereal,Offline,L,4/14/2016,333380401,5/2/2016,3524,205.70,117.11,724886.80,412695.64,312191.16
Europe,Norway,Office Supplies,Offline,H,1/28/2016,193454921,2/24/2016,6465,651.21,524.96,4210072.65,3393866.40,816206.25
Europe,Norway,Household,Offline,M,9/15/2013,120595824,10/27/2013,5839,668.27,502.54,3902028.53,2934331.06,967697.47
Europe,Norway,Meat,Online,H,6/4/2015,267581737,7/15/2015,2237,421.89,364.69,943767.93,815811.53,127956.40
Europe,Norway,Cereal,Online,L,11/3/2013,172907483,12/15/2013,6021,205.70,117.11,1238519.70,705119.31,533400.39
Europe,Norway,Personal Care,Online,H,6/20/2012,349220883,7/4/2012,1075,81.73,56.67,87859.75,60920.25,26939.50
Europe,Norway,Fruits,Offline,M,9/15/2016,415850818,9/30/2016,8353,9.33,6.92,77933.49,57802.76,20130.73
Europe,Norway,Office Supplies,Offline,L,5/17/2010,999850976,6/8/2010,6978,651.21,524.96,4544143.38,3663170.88,880972.50
Europe,Norway,Vegetables,Online,M,10/11/2016,456156051,11/28/2016,5567,154.06,90.93,857652.02,506207.31,351444.71
Europe,Norway,Cereal,Online,C,8/13/2013,135745370,8/30/2013,8926,205.70,117.11,1836078.20,1045323.86,790754.34
Europe,Norway,Beverages,Offline,C,8/17/2012,921256244,9/25/2012,9050,47.45,31.79,429422.50,287699.50,141723.00
Europe,Norway,Beverages,Offline,M,10/15/2011,209435737,11/10/2011,5543,47.45,31.79,263015.35,176211.97,86803.38
Europe,Norway,Office Supplies,Online,M,8/9/2016,161633622,9/9/2016,9836,651.21,524.96,6405301.56,5163506.56,1241795.00
Europe,Norway,Cereal,Online,M,3/11/2015,642615926,3/15/2015,3188,205.70,117.11,655771.60,373346.68,282424.92
Europe,Norway,Snacks,Online,H,6/29/2013,440175235,8/17/2013,6488,152.58,97.44,989939.04,632190.72,357748.32
Europe,Norway,Personal Care,Online,C,2/9/2016,760487210,2/20/2016,3920,81.73,56.67,320381.60,222146.40,98235.20
Europe,Norway,Office Supplies,Offline,M,9/29/2015,952147567,11/12/2015,479,651.21,524.96,311929.59,251455.84,60473.75
Europe,Norway,Fruits,Offline,C,5/18/2010,496658694,6/1/2010,1199,9.33,6.92,11186.67,8297.08,2889.59
Europe,Norway,Cosmetics,Offline,L,4/23/2017,511709535,5/15/2017,5077,437.20,263.33,2219664.40,1336926.41,882737.99
Europe,Norway,Clothes,Online,H,3/21/2012,604960286,5/4/2012,47,109.28,35.84,5136.16,1684.48,3451.68
Europe,Norway,Cereal,Online,C,4/3/2015,238804852,5/9/2015,6517,205.70,117.11,1340546.90,763205.87,577341.03
Europe,Norway,Household,Online,H,3/9/2017,375644290,3/9/2017,348,668.27,502.54,232557.96,174883.92,57674.04
Europe,Norway,Cereal,Offline,M,8/17/2014,832655370,9/11/2014,82,205.70,117.11,16867.40,9603.02,7264.38
Europe,Norway,Meat,Online,L,10/24/2013,684245955,12/11/2013,2439,421.89,364.69,1028989.71,889478.91,139510.80
Europe,Norway,Office Supplies,Offline,L,7/22/2012,837263619,9/7/2012,3766,651.21,524.96,2452456.86,1976999.36,475457.50
Europe,Norway,Meat,Offline,H,5/24/2012,396290433,5/27/2012,10000,421.89,364.69,4218900.00,3646900.00,572000.00
Europe,Norway,Baby Food,Online,L,5/28/2015,235661733,6/25/2015,6398,255.28,159.42,1633281.44,1019969.16,613312.28
Europe,Norway,Beverages,Offline,H,7/22/2012,880951011,7/29/2012,1836,47.45,31.79,87118.20,58366.44,28751.76
Europe,Norway,Cosmetics,Offline,H,9/20/2016,269400060,10/29/2016,319,437.20,263.33,139466.80,84002.27,55464.53
Europe,Norway,Fruits,Offline,H,2/4/2013,524308192,3/20/2013,3300,9.33,6.92,30789.00,22836.00,7953.00
Europe,Norway,Personal Care,Offline,C,4/13/2015,714841163,4/13/2015,6240,81.73,56.67,509995.20,353620.80,156374.40
Europe,Norway,Cosmetics,Online,H,5/25/2014,264002168,6/22/2014,2963,437.20,263.33,1295423.60,780246.79,515176.81
Europe,Norway,Cereal,Offline,C,1/16/2015,867817199,1/29/2015,5249,205.70,117.11,1079719.30,614710.39,465008.91
Europe,Norway,Clothes,Online,M,12/4/2011,527492940,1/10/2012,5738,109.28,35.84,627048.64,205649.92,421398.72
Europe,Norway,Office Supplies,Offline,H,10/28/2014,568530738,11/23/2014,9734,651.21,524.96,6338878.14,5109960.64,1228917.50
Europe,Norway,Cosmetics,Offline,C,12/18/2012,209872186,1/18/2013,4698,437.20,263.33,2053965.60,1237124.34,816841.26
Europe,Norway,Personal Care,Offline,L,10/11/2013,533031165,10/11/2013,4622,81.73,56.67,377756.06,261928.74,115827.32
Europe,Norway,Vegetables,Offline,L,4/3/2016,932093656,5/18/2016,6081,154.06,90.93,936838.86,552945.33,383893.53
Europe,Norway,Office Supplies,Offline,H,12/13/2015,101077067,12/28/2015,9805,651.21,524.96,6385114.05,5147232.80,1237881.25
Europe,Norway,Beverages,Online,M,11/30/2016,948962819,11/30/2016,8041,47.45,31.79,381545.45,255623.39,125922.06
Europe,Norway,Beverages,Offline,M,2/3/2013,171187865,2/14/2013,7148,47.45,31.79,339172.60,227234.92,111937.68
Europe,Norway,Vegetables,Offline,L,3/22/2017,308422124,5/7/2017,7815,154.06,90.93,1203978.90,710617.95,493360.95
Europe,Norway,Vegetables,Online,H,7/25/2016,863110244,8/19/2016,2356,154.06,90.93,362965.36,214231.08,148734.28
Europe,Norway,Household,Online,H,4/30/2017,543629539,6/5/2017,916,668.27,502.54,612135.32,460326.64,151808.68
Europe,Norway,Household,Online,H,10/4/2010,796423232,11/15/2010,8188,668.27,502.54,5471794.76,4114797.52,1356997.24
Europe,Norway,Clothes,Online,C,7/21/2012,968325793,8/18/2012,7975,109.28,35.84,871508.00,285824.00,585684.00
Europe,Norway,Cereal,Offline,L,4/14/2016,333380401,5/2/2016,3524,205.70,117.11,724886.80,412695.64,312191.16
Europe,Norway,Office Supplies,Offline,H,1/28/2016,193454921,2/24/2016,6465,651.21,524.96,4210072.65,3393866.40,816206.25
Europe,Norway,Household,Offline,M,9/15/2013,120595824,10/27/2013,5839,668.27,502.54,3902028.53,2934331.06,967697.47
Europe,Norway,Meat,Online,H,6/4/2015,267581737,7/15/2015,2237,421.89,364.69,943767.93,815811.53,127956.40
Europe,Norway,Cereal,Online,L,11/3/2013,172907483,12/15/2013,6021,205.70,117.11,1238519.70,705119.31,533400.39
Europe,Norway,Personal Care,Online,H,6/20/2012,349220883,7/4/2012,1075,81.73,56.67,87859.75,60920.25,26939.50
Europe,Norway,Fruits,Offline,M,9/15/2016,415850818,9/30/2016,8353,9.33,6.92,77933.49,57802.76,20130.73
Europe,Norway,Office Supplies,Offline,L,5/17/2010,999850976,6/8/2010,6978,651.21,524.96,4544143.38,3663170.88,880972.50
Europe,Norway,Vegetables,Online,M,10/11/2016,456156051,11/28/2016,5567,154.06,90.93,857652.02,506207.31,351444.71
Europe,Norway,Cereal,Online,C,8/13/2013,135745370,8/30/2013,8926,205.70,117.11,1836078.20,1045323.86,790754.34
Europe,Norway,Beverages,Offline,C,8/17/2012,921256244,9/25/2012,9050,47.45,31.79,429422.50,287699.50,141723.00
Europe,Norway,Beverages,Offline,M,10/15/2011,209435737,11/10/2011,5543,47.45,31.79,263015.35,176211.97,86803.38
Europe,Norway,Office Supplies,Online,M,8/9/2016,161633622,9/9/2016,9836,651.21,524.96,6405301.56,5163506.56,1241795.00
Europe,Norway,Cereal,Online,M,3/11/2015,642615926,3/15/2015,3188,205.70,117.11,655771.60,373346.68,282424.92
Europe,Norway,Snacks,Online,H,6/29/2013,440175235,8/17/2013,6488,152.58,97.44,989939.04,632190.72,357748.32
Europe,Norway,Personal Care,Online,C,2/9/2016,760487210,2/20/2016,3920,81.73,56.67,320381.60,222146.40,98235.20
Europe,Norway,Office Supplies,Offline,M,9/29/2015,952147567,11/12/2015,479,651.21,524.96,311929.59,251455.84,60473.75
Europe,Norway,Fruits,Offline,C,5/18/2010,496658694,6/1/2010,1199,9.33,6.92,11186.67,8297.08,2889.59
Europe,Norway,Cosmetics,Offline,L,4/23/2017,511709535,5/15/2017,5077,437.20,263.33,2219664.40,1336926.41,882737.99
Europe,Norway,Clothes,Online,H,3/21/2012,604960286,5/4/2012,47,109.28,35.84,5136.16,1684.48,3451.68
Europe,Norway,Cereal,Online,C,4/3/2015,238804852,5/9/2015,6517,205.70,117.11,1340546.90,763205.87,577341.03
Europe,Norway,Household,Online,H,3/9/2017,375644290,3/9/2017,348,668.27,502.54,232557.96,174883.92,57674.04
Europe,Norway,Cereal,Offline,M,8/17/2014,832655370,9/11/2014,82,205.70,117.11,16867.40,9603.02,7264.38
Europe,Norway,Meat,Online,L,10/24/2013,684245955,12/11/2013,2439,421.89,364.69,1028989.71,889478.91,139510.80
Europe,Norway,Office Supplies,Offline,L,7/22/2012,837263619,9/7/2012,3766,651.21,524.96,2452456.86,1976999.36,475457.50
Europe,Norway,Meat,Offline,H,5/24/2012,396290433,5/27/2012,10000,421.89,364.69,4218900.00,3646900.00,572000.00
Europe,Norway,Baby Food,Online,L,5/28/2015,235661733,6/25/2015,6398,255.28,159.42,1633281.44,1019969.16,613312.28
Europe,Norway,Beverages,Offline,H,7/22/2012,880951011,7/29/2012,1836,47.45,31.79,87118.20,58366.44,28751.76
Europe,Norway,Cosmetics,Offline,H,9/20/2016,269400060,10/29/2016,319,437.20,263.33,139466.80,84002.27,55464.53
Europe,Norway,Fruits,Offline,H,2/4/2013,524308192,3/20/2013,3300,9.33,6.92,30789.00,22836.00,7953.00
Europe,Norway,Personal Care,Offline,C,4/13/2015,714841163,4/13/2015,6240,81.73,56.67,509995.20,353620.80,156374.40
Europe,Norway,Cosmetics,Online,H,5/25/2014,264002168,6/22/2014,2963,437.20,263.33,1295423.60,780246.79,515176.81
Europe,Norway,Cereal,Offline,C,1/16/2015,867817199,1/29/2015,5249,205.70,117.11,1079719.30,614710.39,465008.91
Europe,Norway,Clothes,Online,M,12/4/2011,527492940,1/10/2012,5738,109.28,35.84,627048.64,205649.92,421398.72
Europe,Norway,Office Supplies,Offline,H,10/28/2014,568530738,11/23/2014,9734,651.21,524.96,6338878.14,5109960.64,1228917.50
Europe,Norway,Cosmetics,Offline,C,12/18/2012,209872186,1/18/2013,4698,437.20,263.33,2053965.60,1237124.34,816841.26
Europe,Norway,Personal Care,Offline,L,10/11/2013,533031165,10/11/2013,4622,81.73,56.67,377756.06,261928.74,115827.32
Europe,Norway,Vegetables,Offline,L,4/3/2016,932093656,5/18/2016,6081,154.06,90.93,936838.86,552945.33,383893.53
Europe,Norway,Office Supplies,Offline,H,12/13/2015,101077067,12/28/2015,9805,651.21,524.96,6385114.05,5147232.80,1237881.25
Europe,Norway,Beverages,Online,M,11/30/2016,948962819,11/30/2016,8041,47.45,31.79,381545.45,255623.39,125922.06
Europe,Norway,Beverages,Offline,M,2/3/2013,171187865,2/14/2013,7148,47.45,31.79,339172.60,227234.92,111937.68
Europe,Norway,Vegetables,Offline,L,3/22/2017,308422124,5/7/2017,7815,154.06,90.93,1203978.90,710617.95,493360.95
Europe,Norway,Vegetables,Online,H,7/25/2016,863110244,8/19/2016,2356,154.06,90.93,362965.36,214231.08,148734.28
Europe,Norway,Household,Online,H,4/30/2017,543629539,6/5/2017,916,668.27,502.54,612135.32,460326.64,151808.68
Europe,Norway,Household,Online,H,10/4/2010,796423232,11/15/2010,8188,668.27,502.54,5471794.76,4114797.52,1356997.24
Europe,Norway,Clothes,Online,C,7/21/2012,968325793,8/18/2012,7975,109.28,35.84,871508.00,285824.00,585684.00
Europe,Norway,Cereal,Offline,L,4/14/2016,333380401,5/2/2016,3524,205.70,117.11,724886.80,412695.64,312191.16
Europe,Norway,Office Supplies,Offline,H,1/28/2016,193454921,2/24/2016,6465,651.21,524.96,4210072.65,3393866.40,816206.25
Europe,Norway,Household,Offline,M,9/15/2013,120595824,10/27/2013,5839,668.27,502.54,3902028.53,2934331.06,967697.47
Europe,Norway,Meat,Online,H,6/4/2015,267581737,7/15/2015,2237,421.89,364.69,943767.93,815811.53,127956.40
Europe,Norway,Cereal,Online,L,11/3/2013,172907483,12/15/2013,6021,205.70,117.11,1238519.70,705119.31,533400.39
Europe,Norway,Personal Care,Online,H,6/20/2012,349220883,7/4/2012,1075,81.73,56.67,87859.75,60920.25,26939.50
Europe,Norway,Fruits,Offline,M,9/15/2016,415850818,9/30/2016,8353,9.33,6.92,77933.49,57802.76,20130.73
Europe,Norway,Office Supplies,Offline,L,5/17/2010,999850976,6/8/2010,6978,651.21,524.96,4544143.38,3663170.88,880972.50
Europe,Norway,Vegetables,Online,M,10/11/2016,456156051,11/28/2016,5567,154.06,90.93,857652.02,506207.31,351444.71
Europe,Norway,Cereal,Online,C,8/13/2013,135745370,8/30/2013,8926,205.70,117.11,1836078.20,1045323.86,790754.34
Europe,Norway,Beverages,Offline,C,8/17/2012,921256244,9/25/2012,9050,47.45,31.79,429422.50,287699.50,141723.00
Europe,Norway,Beverages,Offline,M,10/15/2011,209435737,11/10/2011,5543,47.45,31.79,263015.35,176211.97,86803.38
Europe,Norway,Office Supplies,Online,M,8/9/2016,161633622,9/9/2016,9836,651.21,524.96,6405301.56,5163506.56,1241795.00
Europe,Norway,Cereal,Online,M,3/11/2015,642615926,3/15/2015,3188,205.70,117.11,655771.60,373346.68,282424.92
Europe,Norway,Snacks,Online,H,6/29/2013,440175235,8/17/2013,6488,152.58,97.44,989939.04,632190.72,357748.32
Europe,Norway,Personal Care,Online,C,2/9/2016,760487210,2/20/2016,3920,81.73,56.67,320381.60,222146.40,98235.20
Europe,Norway,Office Supplies,Offline,M,9/29/2015,952147567,11/12/2015,479,651.21,524.96,311929.59,251455.84,60473.75
Europe,Norway,Fruits,Offline,C,5/18/2010,496658694,6/1/2010,1199,9.33,6.92,11186.67,8297.08,2889.59
Europe,Norway,Cosmetics,Offline,L,4/23/2017,511709535,5/15/2017,5077,437.20,263.33,2219664.40,1336926.41,882737.99
Europe,Norway,Clothes,Online,H,3/21/2012,604960286,5/4/2012,47,109.28,35.84,5136.16,1684.48,3451.68
Europe,Norway,Cereal,Online,C,4/3/2015,238804852,5/9/2015,6517,205.70,117.11,1340546.90,763205.87,577341.03
Europe,Norway,Household,Online,H,3/9/2017,375644290,3/9/2017,348,668.27,502.54,232557.96,174883.92,57674.04
Europe,Norway,Cereal,Offline,M,8/17/2014,832655370,9/11/2014,82,205.70,117.11,16867.40,9603.02,7264.38
Europe,Norway,Meat,Online,L,10/24/2013,684245955,12/11/2013,2439,421.89,364.69,1028989.71,889478.91,139510.80
Europe,Norway,Office Supplies,Offline,L,7/22/2012,837263619,9/7/2012,3766,651.21,524.96,2452456.86,1976999.36,475457.50
Europe,Norway,Meat,Offline,H,5/24/2012,396290433,5/27/2012,10000,421.89,364.69,4218900.00,3646900.00,572000.00
Europe,Norway,Baby Food,Online,L,5/28/2015,235661733,6/25/2015,6398,255.28,159.42,1633281.44,1019969.16,613312.28
Europe,Norway,Beverages,Offline,H,7/22/2012,880951011,7/29/2012,1836,47.45,31.79,87118.20,58366.44,28751.76
Europe,Norway,Cosmetics,Offline,H,9/20/2016,269400060,10/29/2016,319,437.20,263.33,139466.80,84002.27,55464.53
Europe,Norway,Fruits,Offline,H,2/4/2013,524308192,3/20/2013,3300,9.33,6.92,30789.00,22836.00,7953.00
Europe,Norway,Personal Care,Offline,C,4/13/2015,714841163,4/13/2015,6240,81.73,56.67,509995.20,353620.80,156374.40
Europe,Norway,Cosmetics,Online,H,5/25/2014,264002168,6/22/2014,2963,437.20,263.33,1295423.60,780246.79,515176.81
Europe,Norway,Cereal,Offline,C,1/16/2015,867817199,1/29/2015,5249,205.70,117.11,1079719.30,614710.39,465008.91
Europe,Norway,Clothes,Online,M,12/4/2011,527492940,1/10/2012,5738,109.28,35.84,627048.64,205649.92,421398.72
Europe,Norway,Office Supplies,Offline,H,10/28/2014,568530738,11/23/2014,9734,651.21,524.96,6338878.14,5109960.64,1228917.50
Europe,Norway,Cosmetics,Offline,C,12/18/2012,209872186,1/18/2013,4698,437.20,263.33,2053965.60,1237124.34,816841.26
Europe,Norway,Personal Care,Offline,L,10/11/2013,533031165,10/11/2013,4622,81.73,56.67,377756.06,261928.74,115827.32
Europe,Norway,Vegetables,Offline,L,4/3/2016,932093656,5/18/2016,6081,154.06,90.93,936838.86,552945.33,383893.53
Europe,Norway,Office Supplies,Offline,H,12/13/2015,101077067,12/28/2015,9805,651.21,524.96,6385114.05,5147232.80,1237881.25
Europe,Norway,Beverages,Online,M,11/30/2016,948962819,11/30/2016,8041,47.45,31.79,381545.45,255623.39,125922.06
Europe,Norway,Beverages,Offline,M,2/3/2013,171187865,2/14/2013,7148,47.45,31.79,339172.60,227234.92,111937.68
Europe,Norway,Vegetables,Offline,L,3/22/2017,308422124,5/7/2017,7815,154.06,90.93,1203978.90,710617.95,493360.95
Europe,Norway,Vegetables,Online,H,7/25/2016,863110244,8/19/2016,2356,154.06,90.93,362965.36,214231.08,148734.28
Europe,Norway,Household,Online,H,4/30/2017,543629539,6/5/2017,916,668.27,502.54,612135.32,460326.64,151808.68
Europe,Norway,Household,Online,H,10/4/2010,796423232,11/15/2010,8188,668.27,502.54,5471794.76,4114797.52,1356997.24
